TEXT,FILENAME,TYPE FOLLOW,FOLLOW FILE (DEFAULT/SHORT/YES),FOLLOW FILE 2 (NO/LONG),GENERAL TAGS,,,SPECIFIC TAGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello...can you tell me what you've been up to today before you came in here?,Hello1,hardfollow,Hello1a,,intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is today a typical day for you?,Hello1a,hardfollow,Hello1b,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And now you're here. What brought you here?,Hello1b,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi thanks for coming in. So I'm just here to learn a little bit about you and who you are and to start can you tell me something about yourself? Anything that comes to mind.,Hello2,,,,intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello...what you do for a living?,Hello3,hardfollow,Hello3a,,intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So what do you do day to day? What did you do today?,Hello3a,hardfollow,Hello3b,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you like your job?,Hello3b,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello...where do you live?,Hello4,hardfollow,Hello4a,,intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where did you grow up?,Hello4a,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You remind me of somebody but I can't quite put my finger on it...do you get that a lot? Do people say that you remind them of someone?,remindofsomeone,,,,warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In high school were you voted or considered most likely to be something?,highschoolvote,,,,warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any exciting plans for the coming week?,plansthisweek,,,,warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you been worried about anything recently?,anyworriesrecently ,length,,anyworriesrecently2,gettingwarmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeah that sounds really stressful.,anyworriesrecently2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So what's been on your mind recently?,onyourmind,length,,onyourmind2,gettingwarmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mm-hmm. Tell me more about that.,onyourmind2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the strangest thing you've done to make money?,strangestthingformoney ,,,,gettingwarmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you the kind of person who likes to stand out in a crowd or fit in?,standout,,,,gettingwarmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you could spend one day being anyone who ever existed who would you be?,anyoneforaday,,,,gettingwarmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the first thing that you want people to know about you?,firstthingtoknow,hardfollow,firstthingtoknow2,,gettingwarmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hmm. Why that?,firstthingtoknow2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the first impression people usually get when they meet you?,firstimpression,hardfollow,firstimpression2,,aboutyou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And what's the first impression that you want to give people when they first meet you?,firstimpression2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you feel about society today? Like the general culture or how people live near you around you?,modernlife,,,,aboutyou,,,time on the internet,time online,hours on the internet,face to face,never talk to my kids,never talk to my family,my parents would never have let,apps,glued to screens,glued to the screen,always playing with,on their phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about the last thing you saw or came across that really repulsed you or grossed you out?,gross,,,,aboutyou,,,gross,grossed out,dirt,shit,poop,freaks me out,diarrhea,blood,disgusting,bugs,cockroaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the most remarkable thing that's happened to you recently?,weirdhappening3 ,,,,aboutyou,,,crazy things,crazy shit,happens to me,happen to me,insane things,insane shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Has anything weird or strange happened to you recently?,weirdhappening,,,,aboutyou,,,crazy things,crazy shit,happens to me,happen to me,insane things,insane shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me the strangest thing that's happened to you recently,weirdhappening2,,,,aboutyou,,,crazy things,crazy shit,happens to me,happen to me,insane things,insane shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me a happy memory? From your childhood or recently?,Memoryhappy1,,,,aboutyou,,,family,parents,mom,dad,kids,kid,daughter,son,daughters,sons,home,friends,friend,prank,funny,hilarious,crazy,wild,remember,boring,nothing,work,not much,nothing much,same old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you think your friends might describe you if they were here?,friendsdescribe,,,,aboutyou,,,outgoing,noticeable,notice me,remember me,walk into a room,center of attention,listening,talk about,problems,listener,therapeutic,interested in,close friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you had the ability to change your body what would you change?,bodychange,,,,aboutyou,,,shy,insecure,pretty,cute,confident,outgoing,seem,seems,i'm,myself,person,turn heads,notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me a joke?,jokeplz,hardfollow,jokeplz2,,aboutyou,,,getting laughs,looking for laughs,funny kid,comedian,class clown,wisecracks,making jokes,the funny one,prankster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That's funny.,jokeplz2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What would your perfect day be like?,Perfectday,,,,aboutyou,,,wish,if i had,if i were,if i was,not enough,too busy,work all the time,working all the time,always working,always at work,never enough,always busy,too much,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What about you do you think people don't really see or know?,peopledontsee ,hardfollow,peopledontsee2,,aboutyou,,,doesn't appreciate,doesn't realize,don't realize,done things,bullied,bully,left out,hiding,don't tell,don't know,trouble,crazy,wild,troubled,problems,bad kid,problem child,detention,suspended,surprising,surprise,surprised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is there anything in your past that would surprise even people who know you well?,peopledontsee2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any embarrassing email addresses or web aliases?,emailalias,,,,aboutyou,,,online,internet,aol,google,gmail,facebook,yahoo,earthlink,reddit,imgur,twitter,instagram,blog,blogging,blogger,tweet,tweeting,forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was there ever a period in your life when you felt very isolated? Like at school at home at work?,isolated ,,,,aboutyou,,,exhausted,exhausting,give up,tiring,tired,boring,bored,nobody,no one,bad time,bad times,hard time,hard times,alone,lonely,loneliest,isolated,drink,drinking,drunk,heavily,fighting,fights,crying,cried,cry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you think is a unique quality of yours that you've inherited from the way you grew up?,qualityfromchildhood,,,,aboutyou,childhood,,parents,mom,dad,mother,father,believed,belief,ideas,strong,strength,stubborn,era,different,special,raised,the way,handle,make do,made do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were you like as a teenager?,teenager,,,,aboutyou,childhood,,teen,teens,adolescence,adolescent,puberty,kids,kid,son,daughter,girl,boy,girls,boys,children,child,childhood,parents,mom,dad,mother,father,siblings,brother,sister,problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you have a lot of friends when you were in high school? Were you popular?,popularinschool,,,,childhood,,,school,always quiet,always the loud one,class clown,extroverted,spotlight,attention,shy,confident,confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you most remember from childhood?,childhoodmostremember,length,childhoodmostremember2,,childhood,,,growing up,grew up,was a kid,as a kid,home,parents,mom,dad,brothers,sisters,siblings,raised,strict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any specific memories that really stand out?,childhoodmostremember2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me a story from your childhood? Whatever kinda pops into your mind?,storychildhood,,,,childhood,first,,parents,mom,dad,mother,father,home,growing up,grew up,when i was,kid,kids,child,children,little,young,younger,boy,girl,student,school,teacher,teachers,class,classes,homework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about your childhood. What were your parents like? What was it like growing up in your home?,growingup,hardfollow,growingup2,,childhood,,,growing up,grew up,was a kid,as a kid,home,parents,mom,dad,mother,father,home,brothers,sisters,siblings,raised,child,children,little,young,younger:student,school,teacher,teachers,class,classes,homework,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What about school did you have a lot of friends did you like school?,growingup2,hardfollow,growingup3,,childhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you get into a lot of trouble as a kid?,growingup3,,,,childhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you wish your parents had done differently when you were growing up?,adviceforparents,length,,adviceforparents2,childhood,notfirst,penult,shy,outgoing,confident,study,studied,sports,athletic,music,band,play,plays,bullied,bully,allow,allowed,fight,fought,drink,drinking,drank,divorce,divorced,strict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you think your life would be different now?,adviceforparents2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you at all messed up because of your childhood?,problemsfromchildhood,,,,childhood,notfirst,,drinking,drank,alcoholic,alcoholism,abuse,abusive,fought,fighting,screaming,drugs,partied,parties,bullied,bullies,bully,teased,tormented,made fun,make fun,very religious,every weekend,every night,afraid,terrified,hell,selfish,divorce,divorced,cheated,paranoid,absorbed,fucked up,,,,,,,,,,,,,,,,,,,,,,
What was your parents' relationship like?,parentrelations,hardfollow,parentrelations2,,childhood,,,mom,dad,mother,father,strict,expect,expectations,nag,nagging,nagger,nags,difficult,easy,get along,got along,drink,drinking,drank,work,working,worked,support,supporting,home,family,siblings,kids,school,,,,,,,,,,,,,,,,,,,,,,,,,,
How did their relationship affect your romantic relationships?,parentrelations2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about a time when you got into a lot of trouble.,introuble,hardfollow,introuble2,,childhood,,,bad,behave,behavior,angry,pissed,dad,mom,sister,brother,trouble,wild,kids,school,college,police,drunk,stupid,fault,crazy,late,suspended,friend,girlfriend,boyfriend,cousin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How were you punished as a child?,introuble2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much do you talk with your friends about your childhood and about your past? ,friendsknowpast,,,,secret,childhood,notfirst,trouble,steal,stole,fight,fights,detention,grounded,suspended,expelled,kicked,fired,bomb,threat,gun,guns,knife,knives,bitch,mean,bully,rumors,rumor,sober,drug,drugs,high,stoned,drinking,drank,drink,drunk,bad,buried,problem,problems,law,prison,jail,police,cops,arrested,record,,,,,,,,,,,,
Can you tell me about your first love?,firstlove,length,,firstlove2,love,,,smitten,in love,boyfriend,girlfriend,first sight,divorce,head over heels,infatuated,obsessed,ex,husband,wife,partner,marriage,married,break up,broke up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you think would happen if you saw each other again?,firstlove2,hardfollow,firstlove3,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you were going to relive your first love what would you do differently?,firstlove3,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How have you gone about meeting new romantic partners?,newpartners,,,,love,,,date,dates,dating,go out,went out,going out,girlfriend,boyfriend,partner,husband,wife,fiance,ex,in love,over heels,infatuated,infatuation,broke up,break up,pick up,picking up,picked up,hit on,hitting on,flirt,flirting,okcupid,tinder,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have a favorite romantic memory like a really nice date you went on?,favromanticmemory,,,,love,,,date,dates,dating,went out,going out,girlfriend,boyfriend,partner,husband,wife,fiance,ex,in love,over heels,infatuated,infatuation,broke up,break up,sex,sexual,make love,made love,making love,fuck,fucked,fucking,in bed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me one of your favorite sexual fantasies?,favsexfantasy,,,,sex,notfirst,,horny,turned on,turns me on,sleeping with,sleep with,slept with,virgin,having sex,had sex,have sex,masturbate,jerk off,jack off,touch myself,porn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever fantasized about cheating on your partner or being cheated on?,cheatingfantasy,length,cheatingfantasy2,cheatingfantasy3,sex,notfirst,,loyal,faithful,unfaithful,horny,turned on,turn on,sleeping with,sleep with,slept with,jealous,jealousy,masturbate,jerk off,jack off,touch myself,flirt,flirting,slut,slept around,sleep around,snoop,snooping,snooped,spying,spied,went through,looked at,his texts,his emails,her texts,her emails,,,,,,,,,,,,,,,,,,,,,,,
Have you ever cheated on your partner or have you ever been cheated on?,cheatingfantasy2 ,hardfollow,cheatingfantasy3,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me more.,cheatingfantasy3,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any memories of intense sexual jealousy?,jealousysexual,hardfollow,jealousysexual2,,sex,notfirst,,jealous,jealousy,flirt,slut,player,stud,loyal,faithful,unfaithful,cheating,cheated,cheat,obsessed,insecure,come on,coming on,stunning,sexy,sexiest,commit,committing,commitment,exclusive,monogamous,monogamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And what about romantic jealousy can you tell me about when you've felt jealous?,jealousysexual2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you could go back and change anything in your past love life what would you change?,changepast,hardfollow,changepast2,,love,notfirst,,hurt,feelings,fight,fought,fighting,angry,sad,upset,devastated,trust,recover,recovered,perfect,happy,miss,mistakes,mistake,blew up,blow up,blown up,break up,broke up,back together,fuck up,fucked up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When you think back on your past in general what would you change?,changepast2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about something you did in your past that you regret?,regretpast,length,,regretpast2,wrong,hurt,,mistakes,mistake,lying,lied,fight,fighting,fought,depressed,anxious,angry,anger,mad,rebelling,resisting,commit,commitment,hate,hated,slept around,sleep around,spying,spied,went through,looked at,his texts,his emails,her texts,her emails,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you think about it a lot?  Did the experience change you?,regretpast2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What would you do with your life if money weren't an issue?,money4life,,,,worry,,,make enough,making enough,scrape by,scraping by,rent,renting,apartment,afford,affording,feed,feeding,food,table,apartment,house,support,wish,if i had,if i were,if i was,not enough,too busy,work all the time,working all the time,always working,always at work,never enough,always busy,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about a big lie you've told recently. Who were you talking to? Why did you lie? ,biglie,length,,biglie2,secret,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What in your life right now do you feel guilty about?,guilty,,,,wrong,,,alright,difficult,hard,stress,stressful,stressed,temper,tempered,wife,husband,fiance,accuse,accused,accuses,angry,upset,mad,tired,work,working,worry,worried,worrying,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever shop-lifted? Or stolen from your parents or someone's house?,crime1,hardfollow,crime2 ,,wrong,,,when i was,let me,wild,discipline,raise,raised,growing up,arrested,arrests,police,arrest,record,trouble,cops,jail,law,laws,crime,criminal,criminals,money,afford,allowance,never gave,never got,wanted,really wanted,so bad,furious,so angry,so mad,grounded,,,,,,,,,,,,,,,,,,,,,,
And have you ever committed a more serious crime?,crime2,yesno,crime3,crime4,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does your family feel about this?,crime3,hardfollow,crime4,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How would you feel if someone close to you committed a serious crime has anyone?,crime4,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
